source,target,weight
array,bit,0.10897640848769968
array,buffer,-0.0
array,byte,0.0
array,data,0.3907477974057471
array,hardware,-0.0
array,memory,0.10336773599895853
array,network,0.3613674051936783
array,packet,0.35042371519048865
array,process,0.3765710598240971
array,protocol,0.0
array,query,0.10684950171432366
array,software,0.26107623482357256
array,object,0.6091800368193901
array,variable,0.09906241898120315
array,algorithm,0.0
array,database,0.32494143959426364
array,transaction,0.11763924229918811
array,tree,-0.0
array,boolean,0.0
array,bug,-0.0
array,byte,0.0
array,C,0.09906241898120315
array,Java,-0.0
array,compiler,0.0
array,translator,0.0
array,concurrency,0.08190717796232833
array,code,0.3005566107351585
array,map,0.10962627700165974
array,stack,0.7459090412038957
array,set,0.7295715568814888
array,heap,0.7459090412038957
array,computer,-0.0
array,interface,-0.0
array,core,0.341226601622047
array,Linux,0.0
array,instruction,0.3149527144532327
array,multiprocessing,0.0
array,source code,0.0
array,recursion,0.0
array,register,0.2906988616266665
array,operating system,0.0
array,computing,0.09549535317051619
array,cipher,0.35362824180858526
bit,buffer,0.06416503532266396
bit,byte,0.0
bit,data,0.10770336047760563
bit,hardware,0.30714416235428976
bit,memory,0.31920046268769886
bit,network,0.3111341813234457
bit,packet,0.3016912238446587
bit,process,0.40666906204067405
bit,protocol,0.0
bit,query,0.2685681343637245
bit,software,0.08289846455935035
bit,object,0.20909208383556416
bit,variable,0.35863024080306855
bit,algorithm,0.0
bit,database,0.1099383717276458
bit,transaction,0.29183098369206695
bit,tree,0.14794993333781561
bit,boolean,0.0
bit,bug,0.11640474514160028
bit,byte,0.0
bit,C,0.38039616224211714
bit,Java,0.0707027422909923
bit,compiler,0.0
bit,translator,0.12369169929752999
bit,concurrency,0.21236396859542173
bit,code,0.09920605795087772
bit,map,0.23490430699659035
bit,stack,0.6767875379117391
bit,set,0.5749561399185981
bit,heap,0.6767875379117391
bit,computer,0.31920046268769886
bit,interface,0.10666871238194976
bit,core,0.18990764637056431
bit,Linux,0.0
bit,instruction,0.27377945742369275
bit,multiprocessing,0.0
bit,source code,0.0
bit,recursion,0.0
bit,register,0.29280457207300553
bit,operating system,0.0
bit,computing,0.2434149851312494
bit,cipher,0.42727096807638487
buffer,byte,0.0
buffer,data,-0.0
buffer,hardware,0.0629917623164616
buffer,memory,0.0629917623164616
buffer,network,0.06123498146687185
buffer,packet,0.05919032633475458
buffer,process,0.08917188044702208
buffer,protocol,0.0
buffer,query,-0.0
buffer,software,-0.0
buffer,object,0.11318924169546798
buffer,variable,0.06123498146687185
buffer,algorithm,0.0
buffer,database,-0.0
buffer,transaction,-0.0
buffer,tree,0.0747637953894863
buffer,boolean,0.0
buffer,bug,0.05727780263808744
buffer,byte,0.0
buffer,C,0.42569592747939156
buffer,Java,0.4517562749625907
buffer,compiler,0.0
buffer,translator,0.06123498146687185
buffer,concurrency,-0.0
buffer,code,-0.0
buffer,map,0.37715626972289934
buffer,stack,-0.0
buffer,set,0.29830043134483836
buffer,heap,-0.0
buffer,computer,0.0629917623164616
buffer,interface,0.061923609142509786
buffer,core,0.06123498146687185
buffer,Linux,0.0
buffer,instruction,-0.0
buffer,multiprocessing,0.0
buffer,source code,0.0
buffer,recursion,0.0
buffer,register,0.05727780263808744
buffer,operating system,0.0
buffer,computing,0.0
buffer,cipher,0.05727780263808744
byte,data,0.0
byte,hardware,0.0
byte,memory,0.0
byte,network,0.0
byte,packet,0.0
byte,process,0.0
byte,protocol,0.0
byte,query,0.0
byte,software,0.0
byte,object,0.0
byte,variable,0.0
byte,algorithm,0.0
byte,database,0.0
byte,transaction,0.0
byte,tree,0.0
byte,boolean,0.0
byte,bug,0.0
byte,byte,1.7976931348623157E308
byte,C,0.0
byte,Java,0.0
byte,compiler,0.0
byte,translator,0.0
byte,concurrency,0.0
byte,code,0.0
byte,map,0.0
byte,stack,0.0
byte,set,0.0
byte,heap,0.0
